id,questao,opcao_a,opcao_b
42,"Você confia mais em...",Experiência direta e observável,Impressões e possibilidades
43,"Ao resolver conflitos, você busca...",Soluções baseadas em fatos,Soluções que agradem a todos
44,"No trabalho, você prefere...",Projetos com etapas claras,Projetos flexíveis e adaptáveis
45,"Você se sente mais energizado quando...",Interage com muitas pessoas,Passa tempo sozinho
46,"Você é mais interessado em...",O que é atual e real,O que pode ser possível
47,"Ao julgar, você tende a ser mais...",Imparcial e objetivo,Pessoal e subjetivo
48,"Você prefere...",Rotinas estabelecidas,Flexibilidade nas atividades
49,"Em conversas, você...",Inicia facilmente,Prefere escutar
50,"Você é mais...",Factual e específico,Conceitual e abstrato
51,"Ao ajudar outros, você oferece...",Soluções práticas,Suporte emocional
52,"Você se sente melhor com...",Planos definidos,Opções em aberto
53,"Socialmente, você é mais...",Expressivo e envolvido,Reservado e observador
54,"Você valoriza mais...",Experiências concretas,Ideias inovadoras
55,"Em decisões, você prioriza...",Verdades objetivas,Considerações pessoais
56,"Você prefere...",Decisões finais claras,Opções em aberto
57,"Você ganha energia...",Estando com outros,Estando sozinho
58,"Você tende a focar em...",Detalhes e fatos,Padrões e possibilidades
59,"Você é mais guiado por...",Pensamento lógico,Valores pessoais
60,"Você prefere...",Ambientes estruturados,Ambientes flexíveis
61,"Em grupos, você tende a ser...",Sociável e participativo,Quieto e reflexivo
62,"Você confia mais em...",Observações diretas,Impressões intuitivas
63,"Ao resolver problemas, você é mais...",Objetivo e racional,Subjetivo e empático
64,"Você prefere quando as coisas são...",Decididas e finalizadas,Abertas a mudanças
65,"Em eventos sociais, você...",Interage com muitos,Interage com poucos
66,"Você é mais interessado no...",Presente concreto,Futuro possível
67,"Ao avaliar, você considera mais...",Critérios objetivos,Impacto nas pessoas
68,"Você prefere...",Planejamento detalhado,Adaptação no momento
69,"Você tende a ser mais...",Extrovertido e expressivo,Introvertido e reservado
70,"Você valoriza mais...",Dados concretos,Insights intuitivos
71,"Em conflitos, você busca...",Verdade objetiva,Harmonia pessoal
72,"Você se sente melhor quando...",Tudo está decidido,As opções estão abertas
73,"Em grupos, você prefere...",Liderar discussões,Observar interações
74,"Você confia mais em...",Experiência direta,Intuição e impressão
75,"Ao tomar decisões, você é mais...",Analítico,Empático
76,"Você prefere...",Atividades programadas,Atividades espontâneas
77,"Você se energiza mais...",Em grupos grandes,Em momentos sozinho
78,"Você tende a ser mais...",Literal e específico,Figurativo e geral
79,"É mais importante ser...",Justo e verdadeiro,Harmonioso e compreensivo
80,"Você prefere quando as coisas são...",Estabelecidas e claras,Tentativas e modificáveis
81,"Em situações sociais, você...",Busca iniciar interações,Espera ser abordado
82,"Você é mais...",Prático e realista,Imaginativo e original
83,"Ao julgar situações, você é mais...",Imparcial e lógico,Pessoal e valorativo
84,"Você prefere...",Rotinas estabelecidas,Mudanças frequentes
85,"Em conversas, você tende a...",Falar mais,Ouvir mais
86,"Você se concentra mais em...",Fatos presentes,Possibilidades futuras
87,"Ao resolver problemas, você usa mais...",Análise lógica,Valores pessoais
88,"Você se sente melhor quando...",Tudo está planejado,Há espaço para mudanças
